part,topic,geography,indicator,value,unit,reference_year,source,confidence
1,parental_employment,OECD average,Children in couple households with both parents working full-time,47,percent,2022,OECD Family Database LMF2.2,high
1,parental_employment,OECD average,Children in couple households in one-and-a-half-earner households,16,percent,2022,OECD Family Database LMF2.2,high
1,parental_employment,OECD average,Children in couple households that are jobless,5,percent,2022,OECD Family Database LMF1.1,high
1,parental_employment,OECD average,Children in single-parent households that are jobless,30,percent,2022,OECD Family Database LMF1.1,high
1,parental_employment,Ireland,Children in single-parent jobless households,41.5,percent,2022,OECD Family Database LMF1.1,moderate
1,parental_employment,Turkiye,Children in single-parent jobless households,63,percent,2022,OECD Family Database LMF1.1,moderate
1,parental_employment,Finland,Full-time dual-earner couples when youngest child aged 0-2,35,percent,2022,OECD Family Database LMF2.2,high
1,parental_employment,Finland,Full-time dual-earner couples when youngest child aged 6,56,percent,2022,OECD Family Database LMF2.2,high
1,parental_employment,OECD average,Employed fathers in couples working 45+ hours per week,23,percent,2022,OECD Family Database LMF2.1,high
1,parental_employment,OECD average,Employed mothers in couples working 45+ hours per week,10,percent,2022,OECD Family Database LMF2.1,high
1,parental_employment,European Union,Households with dependent children where all adults are employed,61.3,percent,2025,Eurostat EU-LFS,high
1,parental_employment,European Union,Households with dependent children where all adults work full-time,41.5,percent,2025,Eurostat EU-LFS,high
1,parental_employment,European Union,Households with dependent children where no adults work,13.8,percent,2025,Eurostat EU-LFS,high
1,parental_employment,European Union,Households with children that are couples with children,63.5,percent,2024,Eurostat,high
1,parental_employment,European Union,Households with children that are single-parent,12.7,percent,2024,Eurostat,high
1,parental_employment,United States,Opposite-sex couples with children under 18 with both parents working full-time,31,percent,1975,Pew Research Center / CPS,high
1,parental_employment,United States,Opposite-sex couples with children under 18 with both parents working full-time,46,percent,2015,Pew Research Center / CPS,high
1,parental_employment,United States,Opposite-sex couples with children under 18 with both parents working full-time,52,percent,2025,Pew Research Center / CPS,high
1,parental_employment,United States,Two-parent homes with breadwinner father and homemaker mother,46,percent,1970,Pew Research Center / CPS,high
1,parental_employment,Global,Female labour force participation rate (15+),48.8,percent,2025,ILO modelled estimates,high
1,parental_employment,Global,Female labour force participation rate (15+),50.7,percent,2005,ILO modelled estimates,high
1,parental_employment,Global,Gender gap in labour force participation,24.1,percentage_points,2025,ILO modelled estimates,high
1,parental_employment,Global,Women's share of the global labour force,40.2,percent,2025,ILO modelled estimates,high
1,parental_employment,Upper-middle-income countries,Motherhood employment penalty ratio,19.8,percent,2024,ILO,moderate
1,parental_employment,High-income countries,Motherhood employment penalty ratio,13.2,percent,2024,ILO,moderate
1,parental_employment,Low-income countries,Motherhood employment penalty ratio,5.4,percent,2024,ILO,moderate
